case_nbr,created_dts,created_date,close_dts,last_updated_dts,contact_method,tag_id,prod_desc,country_name_dawn,contact_method_name,system_age,total_inbounf_count,dispatch_number,parts_only,commodity_desc,dps_classification,total_activity_count,warranty_status,new_warranty_type
1,00:12:00,02/01/2019 00:00,00:57:26,00:46:57,2,1,8,United Kingdom,0,677,4,1,1,1,0,9,0,9
2,00:11:48,02/06/2019 00:00,00:39:52,00:12:16,3,2,4,New Zealand,2,1738,3,2,1,1,0,7,1,4
3,00:47:10,10/05/2018 00:00,00:35:51,00:35:06,3,3,7,United States,0,-56,4,3,1,0,0,8,1,4
4,00:52:45,11/14/2018 0:00,00:27:59,00:49:22,3,4,8,United States,0,1075,3,4,1,1,0,5,0,9
5,00:59:46,01/07/2019 00:00,00:57:15,00:31:51,3,5,11,United States,0,138,3,5,1,0,0,5,0,9
6,00:06:11,10/31/2018 0:00,00:50:22,00:49:53,1,6,8,Japan,1,1799,2,6,1,1,0,4,0,9
7,00:59:34,6/26/2018 0:00,00:21:25,00:21:53,3,7,8,United States,0,123,2,7,1,1,0,3,0,9
8,00:34:37,8/15/2018 0:00,00:48:29,00:47:51,3,8,8,Colombia,0,1324,3,8,1,0,0,4,0,9
9,00:23:34,12/11/2018 00:00,00:02:56,00:02:34,3,9,7,United States,0,1014,3,9,1,0,0,5,0,9
10,00:35:43,2/20/2019 0:00,00:42:10,00:14:32,3,10,8,Brazil,2,807,3,10,1,0,0,4,0,9
11,00:21:12,10/11/2018 00:00,00:33:45,00:33:46,3,11,8,Mexico,0,1049,2,11,1,0,0,,0,0
12,00:35:20,1/31/2019 0:00,00:51:32,00:34:15,3,12,8,Japan,2,861,5,12,1,0,0,8,0,9
13,00:58:38,01/09/2019 00:00,00:14:13,00:28:16,3,13,8,Thailand,2,1762,3,13,1,0,0,5,0,0
14,00:12:44,12/10/2018 00:00,00:33:06,00:32:48,3,14,7,United States,0,584,3,14,1,0,0,4,0,9
15,00:30:32,8/27/2018 0:00,00:37:41,00:37:56,3,15,7,United States,0,479,2,15,1,0,0,3,0,9
16,00:26:47,6/22/2018 0:00,00:42:27,00:20:31,2,16,7,United States,1,499,2,16,1,0,0,3,0,9
17,00:13:14,12/27/2018 0:00,00:18:41,00:25:05,1,17,8,India,0,889,4,17,1,0,0,8,0,0
18,00:08:08,12/24/2018 0:00,00:59:09,00:45:38,3,18,10,India,2,235,0,18,1,0,0,1,0,0
19,00:07:04,08/01/2018 00:00,00:38:56,00:21:55,3,19,8,Mexico,0,661,3,19,1,0,0,4,0,9
20,00:01:46,11/05/2018 00:00,00:26:14,00:25:47,3,20,7,United States,0,126,3,20,1,0,0,4,0,9
21,00:46:19,01/07/2019 00:00,00:06:25,00:11:11,3,21,8,India,2,1447,1,21,1,0,0,,0,9
22,00:27:12,12/13/2018 0:00,00:09:44,00:10:32,3,22,7,United States,0,519,2,22,1,0,0,,0,0
23,00:58:27,12/17/2018 0:00,00:56:44,00:07:44,3,23,8,India,0,248,3,23,1,0,0,5,0,0
24,00:36:16,8/22/2018 0:00,00:50:41,00:50:34,3,24,7,United Kingdom,0,1776,3,24,1,0,0,4,0,9
25,00:03:28,5/18/2018 0:00,00:05:43,00:20:29,3,25,7,United States,0,-131,2,25,1,0,0,27,1,4
26,00:01:47,12/27/2018 0:00,00:08:25,00:45:35,3,26,8,United Kingdom,2,318,0,26,1,0,0,,0,9
27,00:17:22,1/29/2019 0:00,00:35:40,00:36:15,3,27,5,United States,0,271,4,27,1,1,0,8,0,0
28,00:40:08,9/17/2018 0:00,00:29:49,00:29:48,3,28,7,United States,0,614,2,28,1,0,0,3,0,9
29,00:47:37,02/01/2019 00:00,00:12:45,00:48:44,3,29,7,Thailand,2,1318,3,29,1,0,0,6,1,2
30,00:23:44,9/27/2018 0:00,00:43:15,00:43:26,3,30,7,United Kingdom,0,152,3,30,1,0,0,4,0,0
31,00:51:13,6/15/2018 0:00,00:03:53,00:20:56,3,31,11,United States,0,-38,7,31,1,0,0,21,1,4
32,00:54:26,02/06/2019 00:00,00:50:20,00:15:29,3,32,7,United States,2,1349,3,32,1,1,0,4,0,9
33,00:26:58,2/21/2019 0:00,00:38:18,00:46:02,3,33,8,India,2,1077,3,33,1,0,0,10,0,0
34,00:16:05,2/20/2019 0:00,00:15:05,00:53:57,3,34,7,United States,0,342,1,34,1,1,0,,0,0
35,00:00:48,8/23/2018 0:00,00:26:36,00:26:11,3,35,10,United States,0,661,3,35,1,1,0,4,0,9
36,00:54:21,11/01/2018 00:00,00:22:27,00:21:33,3,36,7,United States,0,1309,3,36,1,0,0,5,0,9
37,00:35:10,11/20/2018 0:00,00:25:14,00:25:05,3,37,17,United States,0,131,5,37,1,0,0,12,0,0
38,00:08:57,5/21/2018 0:00,00:05:04,00:20:29,3,38,8,,0,43239,2,38,1,0,0,27,0,9
39,00:35:30,6/20/2018 0:00,00:44:19,00:20:31,3,39,7,United States,0,450,2,39,1,0,0,3,0,9
40,00:59:39,1/22/2019 0:00,00:00:13,00:34:10,2,40,7,United States,1,34,3,40,1,0,0,5,0,0
41,00:56:38,1/14/2019 0:00,00:38:22,00:33:50,2,41,7,United States,1,1106,3,41,1,1,0,6,0,0
42,00:58:46,1/22/2019 0:00,00:45:47,00:35:19,3,42,7,United States,0,1283,4,42,1,1,0,7,0,9
43,00:04:25,11/26/2018 0:00,00:23:47,00:23:30,3,43,10,India,2,1981,3,43,1,0,0,4,0,9
44,00:32:03,02/07/2019 00:00,00:24:16,00:51:42,3,44,5,Korea,2,375,5,44,1,1,0,34,0,0
45,00:38:16,01/07/2019 00:00,00:01:37,00:33:53,3,45,10,India,0,1763,5,45,1,0,0,10,0,0
46,00:14:07,2/14/2019 0:00,00:14:37,00:33:23,3,46,11,Japan,2,35,4,46,1,0,0,6,0,9
47,00:49:54,6/22/2018 0:00,00:06:02,00:20:31,3,47,7,United States,0,216,2,47,1,1,0,3,0,9
48,00:15:08,12/31/2018 0:00,00:31:42,00:12:12,3,48,10,India,2,1679,1,48,1,0,0,,0,9
49,00:32:53,1/28/2019 0:00,00:16:07,00:54:23,3,49,7,United States,2,-190,5,49,1,0,0,23,0,0
50,00:45:18,9/18/2018 0:00,00:22:39,00:22:10,1,50,7,United States,1,5,2,50,1,0,0,4,0,9
51,00:08:41,12/12/2018 00:00,00:22:35,00:48:18,3,51,7,Canada,2,587,3,51,1,0,0,8,0,9
52,00:27:58,09/11/2018 00:00,00:29:11,00:28:22,1,52,5,United States,1,463,2,52,1,0,0,4,0,9
53,00:26:43,12/05/2018 00:00,00:55:14,00:54:34,3,53,8,United States,0,1309,2,53,1,0,0,3,0,9
54,00:03:42,02/05/2019 00:00,00:51:42,00:55:09,3,54,8,India,2,1154,5,54,1,0,0,15,0,0
55,00:13:06,2/19/2019 0:00,00:40:47,00:11:47,2,55,7,United States,1,467,2,55,1,0,0,3,0,9
56,00:44:18,2/20/2019 0:00,00:09:43,00:52:49,3,56,7,United States,0,771,0,56,1,0,0,,0,9
57,00:05:37,1/31/2019 0:00,00:26:24,00:27:56,3,57,11,Mexico,0,829,3,57,1,0,0,,0,9
58,00:03:18,8/29/2018 0:00,00:29:15,00:24:23,3,58,8,Mexico,0,951,3,58,1,0,0,6,0,0
59,00:48:44,10/08/2018 00:00,00:42:09,00:42:09,1,59,7,,1,43379,2,59,1,0,0,11,0,9
60,00:14:23,12/06/2018 00:00,00:50:33,00:49:45,1,60,7,United States,1,598,2,60,1,0,0,4,0,9
61,00:23:24,12/12/2018 00:00,00:26:40,00:52:23,3,61,5,United States,0,261,4,61,1,0,0,7,0,0
62,00:56:44,8/17/2018 0:00,00:07:39,00:07:46,3,62,11,United States,0,837,2,62,1,0,0,3,0,9
63,00:11:04,1/14/2019 0:00,00:17:55,00:32:46,3,63,7,United States,2,1399,3,63,1,1,0,5,0,9
64,00:03:02,2/22/2019 0:00,00:39:54,00:53:50,1,64,16,APJ Support,2,647,2,64,1,0,0,6,0,0
65,00:26:27,02/01/2019 00:00,00:38:37,00:52:00,3,65,7,,0,43495,5,65,1,0,0,8,1,4
66,00:04:20,08/09/2018 00:00,00:28:59,00:20:57,3,66,7,Mexico,0,611,3,66,1,0,0,4,0,9
67,00:13:21,11/19/2018 0:00,00:14:32,00:10:54,1,67,16,Japan,2,880,2,67,1,1,0,6,0,9
68,00:32:58,01/03/2019 00:00,00:45:55,00:53:31,2,68,8,United States,0,457,4,68,1,1,0,10,0,0
69,00:48:25,8/30/2018 0:00,00:15:47,00:15:16,3,69,11,United States,0,784,2,69,1,0,0,3,0,9
70,00:02:10,02/11/2019 00:00,00:44:39,00:11:49,3,70,8,India,2,1215,3,70,1,0,0,4,0,0
71,00:07:11,01/02/2019 00:00,00:38:45,00:32:52,3,71,8,Thailand,2,779,3,71,1,1,0,5,0,0
72,00:48:30,6/13/2018 0:00,00:59:34,00:20:34,3,72,7,United States,0,453,2,72,1,0,0,3,0,9
73,00:32:24,02/06/2019 00:00,00:38:44,00:11:14,3,73,8,Thailand,2,553,3,73,1,0,0,5,0,0
74,00:13:09,4/25/2018 0:00,00:12:06,00:20:27,1,74,18,United States,1,-83,3,74,1,0,0,22,1,9
75,00:42:31,1/22/2019 0:00,00:38:16,00:49:31,3,75,7,,2,390,5,75,1,0,0,17,0,9
76,00:54:11,11/06/2018 00:00,00:04:48,00:04:48,3,76,5,United States,0,90,3,76,1,0,0,6,0,0
77,00:41:33,2/20/2019 0:00,00:14:11,00:16:59,3,77,7,Singapore,2,1173,3,77,1,1,0,8,1,2
78,00:25:34,6/28/2018 0:00,00:25:54,00:21:53,3,78,7,United States,0,637,2,78,1,1,0,6,0,9
79,00:40:03,12/18/2018 0:00,00:23:34,00:22:37,3,79,5,APJ Support,2,477,3,79,1,0,0,6,0,6
80,00:03:22,10/10/2018 00:00,00:30:01,00:29:03,3,80,7,United States,0,524,3,80,1,0,0,5,0,9
81,00:59:48,1/18/2019 0:00,00:08:15,00:49:28,3,81,8,India,2,1459,1,81,1,0,0,,0,9
82,00:36:21,11/16/2018 0:00,00:09:25,00:09:00,3,82,8,India,0,676,3,82,1,0,0,4,0,0
83,00:51:21,02/08/2019 00:00,00:53:58,00:10:24,2,83,7,United States,1,597,2,83,1,0,0,3,0,9
84,00:44:48,12/13/2018 0:00,00:22:41,00:26:12,3,84,7,Japan,2,1086,1,84,1,0,0,,0,9
85,00:46:27,10/29/2018 0:00,00:55:07,00:54:38,3,85,13,Australia,0,908,5,85,1,0,0,12,0,0
86,00:50:07,8/27/2018 0:00,00:43:17,00:57:02,3,86,18,United States,0,-112,2,86,1,0,0,18,0,9
